id,username,password,email,role
1,sysadmin1,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,sysadmin1@gmail.com,system_admin
2,sysadmin2,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,sysadmin2@gmail.com,system_admin
3,baseadmin1,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,baseadmin1@gmail.com,basetype_admin
4,baseadmin2,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,baseadmin2@gmail.com,basetype_admin
5,hradmin1,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,hradmin1@gmail.com,hr_admin
6,hradmin2,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,hradmin2@gmail.com,hr_admin
7,orgadmin1,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,orgadmin1@gmail.com,organization_admin
8,orgadmin2,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,orgadmin2@gmail.com,organization_admin
9,orguser1,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,orguser1@gmail.com,organization_user
10,orguser2,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,orguser2@gmail.com,organization_user
11,orguser3,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,orguser3@gmail.com,organization_user
12,orguser4,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,orguser4@gmail.com,organization_user
13,orguser5,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,orguser5@gmail.com,organization_user
14,person1,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,person1@gmail.com,person_user
15,person2,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,person2@gmail.com,person_user
16,person3,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,person3@gmail.com,person_user
17,person4,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,person4@gmail.com,person_user
18,person5,$2b$12$zDZMoHsxUdSvpuNJjEzsveMtmFDtrelp9aRTHnoiLSOk2/UmznCOa,person5@gmail.com,person_user
